trial_number,params,val_fitness,train_fitness,gen_gap,val_mean_recall,val_min_recall,val_max_recall,train_mean_recall,train_min_recall,n_iterations
0,"{'W_CHAR': 1, 'W_WORD': 4, 'W_BI': 0, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.8476843566407648,0.9852967058467219,0.1376123492059571,0.8859747399984137,0.8221574344023324,0.923963133640553,0.9894553568498146,0.9825242718446602,15
1,"{'W_CHAR': 1, 'W_WORD': 8, 'W_BI': 10, 'W_TRI': 10, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.0001, 'hidden_1': 128, 'hidden_2': 64}",0.8114471479187573,0.9835299392106918,0.1720827912919345,0.8566062079893132,0.7813411078717201,0.9,0.9864947509393507,0.9815533980582525,34
2,"{'W_CHAR': 2, 'W_WORD': 6, 'W_BI': 10, 'W_TRI': 5, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.001, 'hidden_1': 128, 'hidden_2': 64}",0.8350090542223729,0.9862321846838459,0.15122313046147295,0.8848987288503928,0.8017492711370262,0.923963133640553,0.9895086770635527,0.9840478564307079,20
3,"{'W_CHAR': 1, 'W_WORD': 8, 'W_BI': 0, 'W_TRI': 0, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8674717331849227,0.9836345616053974,0.11616282842047476,0.8988951603004363,0.8465227817745803,0.9347181008902077,0.9875011597462952,0.9810568295114656,14
4,"{'W_CHAR': 2, 'W_WORD': 8, 'W_BI': 10, 'W_TRI': 5, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 32}",0.8595034213413204,0.985278502933957,0.12577508159263662,0.889283334694409,0.8396501457725948,0.9285714285714286,0.9883560017438384,0.9832268370607029,15
5,"{'W_CHAR': 1, 'W_WORD': 8, 'W_BI': 10, 'W_TRI': 10, 'W_POS': 2, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 32}",0.7859628467398962,0.9736061561796949,0.18764330943979868,0.8584931226806443,0.7376093294460642,0.9096209912536443,0.9820736428764216,0.9679611650485437,13
6,"{'W_CHAR': 2, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 10, 'W_POS': 2, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 64}",0.8213027281206325,0.9799508945687163,0.15864816644808377,0.8812451584940013,0.7813411078717201,0.9170506912442397,0.9848286927324703,0.9766990291262136,13
7,"{'W_CHAR': 0, 'W_WORD': 6, 'W_BI': 5, 'W_TRI': 5, 'W_POS': 6, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.005, 'hidden_1': 64, 'hidden_2': 32}",0.8326077376556464,0.981780815303197,0.1491730776475506,0.8657759039058797,0.8104956268221575,0.9037900874635568,0.9868002810694942,0.9784345047923323,22
8,"{'W_CHAR': 0, 'W_WORD': 4, 'W_BI': 10, 'W_TRI': 15, 'W_POS': 4, 'CHAR_MIN': 2, 'CHAR_MAX': 5, 'alpha': 0.01, 'hidden_1': 64, 'hidden_2': 64}",0.7203506695543234,0.9728637071457696,0.2525130375914463,0.7906725922531556,0.673469387755102,0.8513119533527697,0.9795900979039498,0.9683794466403162,21
9,"{'W_CHAR': 0, 'W_WORD': 4, 'W_BI': 10, 'W_TRI': 10, 'W_POS': 4, 'CHAR_MIN': 3, 'CHAR_MAX': 4, 'alpha': 0.005, 'hidden_1': 128, 'hidden_2': 64}",0.7631834823362323,0.9783831952944162,0.21519971295818385,0.8146642451991816,0.7288629737609329,0.8688046647230321,0.9823657552263316,0.9757281553398058,15
