trial,train_mean_recall,val_mean_recall,val_min_recall,val_balanced_acc,overfitting,fitness,W_CHAR,W_WORD,W_BI,W_TRI,W_POS,CHAR_MIN,CHAR_MAX,alpha,learning_rate_init,activation,hidden_1,hidden_2
0,0.9871190922714664,0.8837017135790725,0.808695652173913,0.8837017135790725,0.10341737869239398,0.8248912058113276,3,2,12,5,2,3,4,0.00043280317638853566,0.0010466580528023333,tanh,128,64
1,0.9777704805060228,0.7736033640186005,0.6550724637681159,0.7736033640186005,0.20416711648742225,0.652560535699744,0,3,15,15,6,3,4,0.0035263714377127844,0.00018979838119228884,tanh,80,88
2,0.9880333582165765,0.8845447656213966,0.744927536231884,0.8845447656213966,0.10348859259517984,0.806715300506953,3,2,9,2,1,2,4,0.0006618463633643238,0.0038828430173841874,relu,112,72
3,0.9811911622234948,0.8097336295148964,0.7130434782608696,0.8097336295148964,0.17145753270859843,0.7099978177843891,0,8,3,14,5,3,5,0.006161971322719814,0.007247790089540715,relu,128,72
4,0.9804467777997463,0.8061776916045886,0.6579710144927536,0.8061776916045886,0.17426908619515769,0.6903811453734593,0,2,15,4,6,2,4,0.0001859574622139272,0.00041195057904985815,relu,160,24
5,0.986746719644972,0.863899240525082,0.7594202898550725,0.863899240525082,0.12284747911988991,0.7821318157641342,3,3,14,14,0,3,5,1.4148850876635704e-05,0.0004148543665756806,tanh,192,88
6,0.9901307680163686,0.8883847349797013,0.8028985507246377,0.8883847349797013,0.1017460330366673,0.8260658631848484,3,8,12,1,3,3,4,5.390324155726175e-05,0.0001680195263809016,relu,144,72
7,0.9891579844281986,0.8914182763284337,0.7942028985507247,0.8914182763284337,0.09773970809976484,0.8271838089452386,3,4,15,4,3,2,5,0.0037340196924722196,0.0030366033385055224,tanh,192,32
8,0.9796136351248589,0.8098176567335647,0.7043478260869566,0.8098176567335647,0.16979597839129423,0.7062787183439351,0,3,11,6,2,2,4,0.0003032211945836297,0.00018372377415198162,relu,224,16
9,0.9883517847635322,0.8981592314095934,0.8289855072463768,0.8981592314095934,0.09019255335393883,0.8473108374836589,3,8,2,6,2,3,4,0.00010842287869725619,0.00017133702072044563,relu,144,56
10,0.9872550173930289,0.8760782891204569,0.8,0.8760782891204569,0.11117672827257197,0.8146664382480339,2,10,2,10,4,3,5,0.047383420921220165,0.00010204500180900828,relu,32,128
11,0.9878777927902249,0.8871389792139044,0.8057971014492754,0.8871389792139044,0.10073881357632053,0.8225670090963554,2,6,5,9,3,2,5,0.0050078023768446315,0.0021322164454965985,tanh,256,40
12,0.9897309368435931,0.8831748401887972,0.8057971014492754,0.8831748401887972,0.10655609665479593,0.8200834702395428,2,5,6,8,2,2,5,0.04257638925073216,0.0014843140091859981,tanh,192,40
13,0.988487343797744,0.8714519830494514,0.744927536231884,0.8714519830494514,0.11703536074829257,0.7879769686300349,1,5,8,3,4,2,5,6.816435682817801e-05,0.009264461974505438,tanh,192,48
14,0.9841459458534189,0.8409624817529697,0.744927536231884,0.8409624817529697,0.14318346410044913,0.7591602660464194,1,7,5,11,1,3,4,0.0017687862500938261,0.0005237575815288103,relu,80,48
15,0.9892173058116076,0.8929873383982464,0.7971014492753623,0.8929873383982464,0.0962299674133612,0.8311065879547005,2,10,8,0,3,2,5,0.013593344635647518,0.003241592424286119,tanh,176,24
16,0.9865933056227146,0.8860967249551145,0.7971014492753623,0.8860967249551145,0.10049658066760014,0.8253498519173886,2,10,8,0,0,3,5,0.030263314225013417,0.005071163877023981,relu,160,16
17,0.9864917758769146,0.8765918838446151,0.782608695652174,0.8765918838446151,0.10989989203229955,0.8088469813707329,1,9,3,7,4,2,4,0.013122191385986281,0.0006877639472787285,tanh,96,96
18,0.9891735124461349,0.8959657102686706,0.8028985507246377,0.8959657102686706,0.09320780217746438,0.8324416613167284,2,9,6,1,1,2,4,1.1777115311337111e-05,0.0017379503134251938,relu,224,56
